pitcher,p_hand,pitch_type,pitch_name,velocity,spin_rate,horz_break,vert_break,release_x,release_z,extension,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az
448306,R,FC,Cutter,87.2,2218,0.3548,0.765,-2.1643,5.9361,6.802,1.6793,2.4759,8.5783,-126.8475,-3.8464,2.3697,22.9878,-23.1857
607536,L,FF,4-Seam Fastball,92.6,2363,1.0232,1.3438,1.6886,5.8032,6.6,-1.3746,1.6466,-10.1023,-134.3354,-7.7169,14.762,30.9882,-14.282
453286,R,CH,Changeup,85.7,1425,-1.158,-0.0337,-3.5996,5.2462,5.996,-1.5689,2.7379,7.0569,-124.6153,0.3885,-13.3093,24.001,-32.8203
448306,R,CH,Changeup,82.5,1652,-1.1952,0.7758,-2.0158,5.9899,6.987,-1.3278,2.0467,4.0033,-120.3015,-4.1284,-12.6498,21.5932,-23.8566
453286,R,FF,4-Seam Fastball,95.5,2372,-0.7965,1.3416,-3.5242,5.2427,6.196,0.5931,3.0952,12.5498,-138.4591,-2.9772,-12.9651,30.5672,-14.5649
448306,R,CH,Changeup,83.6,1649,-1.1678,0.9028,-2.0401,5.9693,6.964,-1.9856,2.0801,2.5142,-121.81,-4.4489,-12.3823,23.13,-22.3028
607536,L,FF,4-Seam Fastball,93.1,2362,0.8571,1.3001,1.4376,6.1418,6.185,-1.1875,1.4789,-8.5603,-135.0537,-8.958,12.2712,28.8851,-14.6416
453286,R,CU,Curveball,78.9,2537,0.5869,-0.7042,-3.4987,5.4153,5.667,-1.3143,2.7851,3.6427,-114.7353,2.3039,4.436,20.2408,-38.9123
448306,R,FF,4-Seam Fastball,90.7,2328,-0.7228,1.0914,-2.3502,5.8028,7.025,0.0763,2.4245,7.758,-131.9917,-5.0243,-10.2181,25.784,-18.2168
607536,L,FF,4-Seam Fastball,93,2391,0.8472,1.4884,1.5313,6.0526,6.355,-0.808,2.8237,-7.8549,-135.1825,-5.7373,12.1212,30.1942,-12.8992
607536,L,FT,2-Seam Fastball,93,2233,1.3205,0.5033,1.7755,5.7056,6.468,0.0941,2.0836,-7.2394,-135.3555,-4.6622,17.8543,27.9427,-25.1735
453286,R,FF,4-Seam Fastball,95.8,2458,-0.7265,1.2014,-3.6072,5.0759,6.383,0.0926,3.3188,11.4032,-139.0825,-1.7389,-11.9206,29.966,-16.3539
448306,R,FC,Cutter,86.6,2269,0.5291,0.4681,-2.1424,5.906,6.627,-0.2752,1.7752,3.3928,-126.171,-4.7019,5.0757,24.25,-26.3918
453286,R,CU,Curveball,79.4,2459,0.5213,-0.6055,-3.3396,5.5164,5.642,-1.4519,2.4272,3.1442,-115.5276,1.0407,4.0316,20.0403,-37.9039
